Marker-ID,Bin-ID,Representive
NMSNP5-24996685,1,1
FES1_1877,2,2
MN2_14003409,3,3
MN1_28584258,4,4
MASC03207,5,5
MASC01056,6,6
MN5_23722677,7,7
BUD1_348,8,8
MN1_2547756,9,9
MN5_6820592,10,10
PERL0600074,11,11
MN4_16742072,12,12
MASC09041,13,13
MN4_18371994,14,14
MN3_19283177,15,15
MN4_16888200,16,16
MN3_3344789,17,17
AGL24_59,18,18
MN2_18986211,19,19
NMSNP5-15065196,20,20
MASC05477,21,21
MASC03060,22,22
MN2_18753024,23,23
MN5_26438023,24,24
NMSNP1-26685638,25,25
MASC01538,26,26
PERL0174281,27,27
MASC00093,28,28
MN5_4318365,29,29
MASC03176,30,30
MN5_1399959,31,31
MASC02680,32,32
MN2_14949589,33,33
MN2_19602061,34,34
MN3_18590814,35,35
NMSNP5-20915321,36,36
MN4_14732051,37,37
MN1_4096221,38,38
MN4_16383274,39,39
MN3_10055595,40,40
PHYB_5215,41,41
MN5_26029439,42,42
MASC04717,43,43
MN3_7917701,44,44
MN1_23893336,45,45
MASC02020,46,46
MASC05116,47,47
MAX1_657,48,48
SOC1_2742,49,49
MN5_24832902,50,50
FRL2_2232,51,51
MASC04881,52,52
MN4_13753532,53,53
MAX3_141,54,54
MN4_12195812,55,55
MN1_29696345,56,56
MASC05841,57,57
MN1_21079881,58,58
MASC09225,59,59
PFT1_5341,60,60
MN1_29291,61,61
CAL_454,62,62
MN1_23270514,63,63
NMSNP2-839805,64,64
MN4_15662175,65,65
MASC04672,66,66
NMSNP4-10977574,67,67
ATC_1679,68,68
MASC02928,69,69
MASC03250,70,70
MASC05017,71,71
MN3_20028297,72,72
MN1_21669564,73,73
CDF1_1519,74,74
MN2_10134400,75,75
MN5_2974376,76,76
MASC05385,77,77
NMSNP3-10995664,78,78
GAr3_3658,79,79
MN3_580517,80,80
MN3_5910420,81,81
MASC01180,82,82
MN5_16368332,83,83
NMSNP2-6032798,84,84
MN3_9747529,85,85
NMSNP5-21881254,86,86
MN5_24131319,87,87
NMSNP3-5091855,88,88
MASC04409,89,89
MN2_18034146,90,90
BKN118,91,91
TFL2_1199,92,92
MN4_13078471,93,93
MASC00675,94,94
MASC06022,95,95
FT_3485,96,96
GA1_2963,97,97
MN4_9276346,98,98
NMSNP4-1585200,99,99
MASC03128,100,100
MN3_21632898,101,101
MN1_10423673,102,102
MN2_7742622,103,103
MN3_8693286,104,104
MN4_14177230,105,105
MASC05049,106,106
MASC03998,107,107
MN1_4317541,108,108
MN1_3678711,109,109
MN5_25819956,110,110
MN5_5726284,111,111
MASC00503,112,112
NMSNP4-11326190,113,113
MASC02232,114,114
PHYD_1815,115,115
GAr1_504,116,116
MN1_24795166,117,117
MN5_3200509,118,118
PIE1_7118,119,119
MN3_22316041,120,120
MN1_13671674,121,121
SVP_4824,122,122
MN5_2808917,123,123
SPY_5334,124,124
MASC04510,125,125
MASC03594,126,126
NMSNP5-8894884,127,127
MN3_10382169,128,128
MASC02450,129,129
GI_2067,130,130
MN5_2244867,131,131
MASC00820,132,132
MN4_14379736,133,133
MN1_4947324,134,134
MASC02512,135,135
MN3_11398208,136,136
FRI_2343,137,137
MASC05920,138,138
MASC05384,139,139
MN3_20828994,140,140
HOS1_5954,141,141
MASC05443,142,142
PNH_348,143,143
MN2_8594369,144,144
MN5_22414731,145,145
MN1_24694673,146,146
NMSNP1-7672828,147,147
MN2_19253011,148,148
MN5_17569666,149,149
MASC04658,150,150
MN5_21039080,151,151
MASC04279,152,152
RGA_1023,153,153
MN4_2241604,154,154
MN3_2236560,155,155
MN5_22116737,156,156
PERL0692204,157,157
MN1_11159773,158,158
MN1_5206981,159,159
PIE1_9146,160,160
MN5_10525862,161,161
MN3_2565035,162,162
MN5_3330509,163,163
VIN3_2713,164,164
MN2_11300378,165,165
PERL0107626,166,166
NMSNP3-8447967,167,167
NMSNP5-14303707,168,168
MAX2_752,169,169
MN3_2232003,170,170
MN2_16837474,171,171
NMSNP2-1798607,172,172
MN5_22627502,173,173
MASC06798,174,174
MASC03074,175,175
PERL0700458,176,176
ERA1_470,177,177
MN5_19316033,178,178
NMSNP4-10276307,179,179
MN5_20318139,180,180
MN3_21127619,181,181
MN4_10482087,182,182
MN3_7225496,183,183
MASC04925,184,184
GAI_2211,185,185
FLC_3312,186,186
MN1_20174828,187,187
CO_347,188,188
PHYD_2806,189,189
MN2_12187411,190,190
MN4_14935855,191,191
SOC1_651,192,192
FD_1596,193,193
MN2_13326473,194,194
MN2_7551582,195,195
PIE1_701,196,196
MN5_16964744,197,197
MASC03154,198,198
NMSNP1-9973291,199,199
GI_123,200,200
PERL0172350,201,201
MASC01672,202,202
MN2_8750048,203,203
MN2_11564603,204,204
MASC02600,205,205
PHYD_3586,206,206
MASC03218,207,207
NMSNP4-9315210,208,208
MASC06077,209,209
MN5_26380009,210,210
MN1_3229670,211,211
RAX1_313,212,212
MASC01586,213,213
FLK_958,214,214
MN4_16547251,215,215
MASC00850,216,216
MN4_13576438,217,217
MASC02790,218,218
SOC1_1594,219,219
NMSNP5-23815532,220,220
MASC06784,221,221
MASC03158,222,222
MASC01039,223,223
MN3_20728619,224,224
MASC04170,225,225
MN4_8789187,226,226
MASC03336,227,227
MN4_18560346,228,228
GA1_5420,229,229
MN4_8177683,230,230
MASC07178,231,231
MASC05327,232,232
PHYA_924,233,233
MN2_17051422,234,234
NMSNP5-21319032,235,235
