Pedigree-Information,The in-depth pedigree with funnelcode 1-2...4
Generation,MemberID,Female=1/Male=2/Hermaphrodite=0,MotherID,FatherID
0,1,0,0,0
0,2,0,0,0
0,3,0,0,0
0,4,0,0,0
1,5,0,1,2
1,6,0,3,4
2,7,0,5,6
3,8,0,7,7
4,9,0,8,8
5,10,0,9,9
Pedigree-Information,The memberID and funnelcode for each sampled individual
ProgenyLine,MemberID,Funnelcode
ProgenyLine1,10,3-2-1-4
ProgenyLine2,10,4-3-2-1
ProgenyLine3,10,2-1-4-3
ProgenyLine4,10,2-3-4-1
ProgenyLine5,10,1-4-3-2
ProgenyLine6,10,4-2-1-3
ProgenyLine7,10,4-2-3-1
ProgenyLine8,10,4-3-1-2
ProgenyLine9,10,4-2-3-1
ProgenyLine10,10,4-2-3-1
ProgenyLine11,10,2-1-4-3
ProgenyLine12,10,1-4-2-3
ProgenyLine13,10,3-1-4-2
ProgenyLine14,10,2-1-3-4
ProgenyLine15,10,1-3-2-4
ProgenyLine16,10,2-4-3-1
ProgenyLine17,10,1-2-4-3
ProgenyLine18,10,3-2-1-4
ProgenyLine19,10,3-1-2-4
ProgenyLine20,10,4-3-2-1
ProgenyLine21,10,3-2-1-4
ProgenyLine22,10,1-4-2-3
ProgenyLine23,10,3-1-2-4
ProgenyLine24,10,3-4-2-1
ProgenyLine25,10,4-2-1-3
ProgenyLine26,10,1-2-3-4
ProgenyLine27,10,2-3-1-4
ProgenyLine28,10,1-2-4-3
ProgenyLine29,10,1-4-3-2
ProgenyLine30,10,1-3-4-2
ProgenyLine31,10,2-4-1-3
ProgenyLine32,10,2-3-1-4
ProgenyLine33,10,3-2-4-1
ProgenyLine34,10,3-1-2-4
ProgenyLine35,10,3-4-2-1
ProgenyLine36,10,2-1-4-3
ProgenyLine37,10,1-3-2-4
ProgenyLine38,10,1-2-3-4
ProgenyLine39,10,2-4-3-1
ProgenyLine40,10,3-1-4-2
ProgenyLine41,10,4-3-1-2
ProgenyLine42,10,2-3-4-1
ProgenyLine43,10,3-2-1-4
ProgenyLine44,10,4-2-3-1
ProgenyLine45,10,2-3-4-1
ProgenyLine46,10,2-1-3-4
ProgenyLine47,10,2-3-1-4
ProgenyLine48,10,4-2-3-1
ProgenyLine49,10,2-1-4-3
ProgenyLine50,10,2-3-4-1
ProgenyLine51,10,1-3-2-4
ProgenyLine52,10,2-1-3-4
ProgenyLine53,10,4-2-1-3
ProgenyLine54,10,3-4-2-1
ProgenyLine55,10,3-1-2-4
ProgenyLine56,10,3-2-1-4
ProgenyLine57,10,1-4-2-3
ProgenyLine58,10,3-1-4-2
ProgenyLine59,10,3-1-2-4
ProgenyLine60,10,3-1-2-4
ProgenyLine61,10,3-2-1-4
ProgenyLine62,10,2-3-1-4
ProgenyLine63,10,3-2-1-4
ProgenyLine64,10,1-2-3-4
ProgenyLine65,10,2-1-3-4
ProgenyLine66,10,2-3-4-1
ProgenyLine67,10,2-3-4-1
ProgenyLine68,10,3-2-4-1
ProgenyLine69,10,4-3-2-1
ProgenyLine70,10,2-3-4-1
ProgenyLine71,10,3-2-1-4
ProgenyLine72,10,3-1-2-4
ProgenyLine73,10,1-2-3-4
ProgenyLine74,10,4-2-1-3
ProgenyLine75,10,2-4-1-3
ProgenyLine76,10,1-3-4-2
ProgenyLine77,10,2-3-4-1
ProgenyLine78,10,4-2-1-3
ProgenyLine79,10,1-4-3-2
ProgenyLine80,10,3-2-4-1
ProgenyLine81,10,2-1-3-4
ProgenyLine82,10,4-3-1-2
ProgenyLine83,10,3-1-4-2
ProgenyLine84,10,4-3-1-2
ProgenyLine85,10,1-2-3-4
ProgenyLine86,10,1-3-4-2
ProgenyLine87,10,2-4-1-3
ProgenyLine88,10,4-3-2-1
ProgenyLine89,10,3-2-1-4
ProgenyLine90,10,3-1-2-4
ProgenyLine91,10,1-3-4-2
ProgenyLine92,10,2-3-1-4
ProgenyLine93,10,4-2-1-3
ProgenyLine94,10,1-4-2-3
ProgenyLine95,10,1-2-4-3
ProgenyLine96,10,3-4-2-1
ProgenyLine97,10,4-1-3-2
ProgenyLine98,10,3-4-1-2
ProgenyLine99,10,4-3-2-1
ProgenyLine100,10,2-4-1-3
